job,seed,policy,bins,unplaced,utilisation,runtimeMs,nfpMs,scoreLoopsMs,apiMs
hard-12,4,ga,4,0,0.5215221563178295,3787.7016380000277,3669.6106220000074,3.338929999852553,0
hard-12,5,classic,4,0,0.5215221563178295,3660.919227000035,3556.0153249999858,3.5122840002877638,0
hard-12,5,contact,4,0,0.5215221563178295,3776.1622680000146,3635.916564999963,5.68041300016921,0
hard-12,5,ga,4,0,0.5215221563178295,3611.1199100000085,3484.2655679999734,4.4981559999869205,0
hard-13,1,classic,3,0,0.46736680143473575,544.7845380000072,523.3998359999969,0.7578429999994114,0
hard-13,1,contact,3,0,0.46736680143473575,599.5738630000269,568.7660039999755,1.6578080002218485,0
hard-13,1,ga,3,0,0.46736680143473575,2299.4579510000185,2147.8618090000236,4.3553710004198365,0
hard-13,2,classic,3,0,0.46736680143473575,519.6142210000544,498.1523349999916,0.7991439999896102,0
hard-13,2,contact,3,0,0.46736680143473575,498.4799810000113,466.3424989999621,1.3787540000048466,0
hard-13,2,ga,3,0,0.46736680143473575,2142.5751939999755,2006.118187999993,3.974991999915801,0
hard-13,3,classic,3,0,0.46736680143473575,542.2139439999592,519.8051739999792,1.0579699999070726,0
hard-13,3,contact,3,0,0.46736680143473575,583.5128060000134,548.701240000024,1.7978450000518933,0
hard-13,3,ga,3,0,0.46736680143473575,2077.2202799999504,1970.6983309999923,3.978873000247404,0
hard-13,4,classic,3,0,0.46736680143473575,551.106220000016,527.0890270000091,1.12056999997003,0
hard-13,4,contact,3,0,0.46736680143473575,547.4570899999817,516.1542780000018,1.6057599999476224,0
hard-13,4,ga,3,0,0.46736680143473575,2179.567815999966,2064.9347259999486,5.333136999397539,0
hard-13,5,classic,3,0,0.46736680143473575,492.80930099997204,471.1757230000221,0.9409280000254512,0
hard-13,5,contact,3,0,0.46736680143473575,542.5764400000335,510.65169600001536,1.9029259998351336,0
hard-13,5,ga,3,0,0.46736680143473575,2333.6530989999883,2222.049759999907,4.16454399965005,0
hard-14,1,classic,3,0,0.5437561279753086,1722.301455000008,1641.8865210000076,5.828367999929469,0
hard-14,1,contact,3,0,0.5437561279753086,1754.5592760000145,1659.99695099995,3.6050030000624247,0
hard-14,1,ga,3,0,0.5437561279753087,2308.7904080000008,2208.3330139999744,4.377658999816049,0
hard-14,2,classic,3,0,0.5437561279753086,1711.3991640000022,1663.8618329999736,1.6483340000268072,0
hard-14,2,contact,3,0,0.5437561279753086,1759.5067550000385,1693.5867890000227,3.9712919999146834,0
hard-14,2,ga,3,0,0.5437561279753086,2138.5556619999697,2035.2811540000257,4.206908000225667,0
hard-14,3,classic,3,0,0.5437561279753086,1793.3325320000295,1746.9606560000102,2.389723000174854,0
hard-14,3,contact,3,0,0.5437561279753086,1752.669406000001,1692.6596579999896,3.1458740001544356,0
hard-14,3,ga,3,0,0.5437561279753087,2266.108783999982,2174.92461799999,4.642055000236724,0
hard-14,4,classic,4,0,0.4078170959814815,1805.1028630000073,1751.0257049999782,2.8292050000745803,0
hard-14,4,contact,3,0,0.5437561279753086,1660.189420999959,1591.0082019999973,4.00032800011104,0
hard-14,4,ga,3,0,0.5437561279753087,2353.2238199999556,2243.2238600000273,3.7786569999880157,0
hard-14,5,classic,3,0,0.5437561279753086,1692.4573630000232,1639.3640269999742,3.783658000116702,0
hard-14,5,contact,3,0,0.5437561279753086,1685.8984080000082,1618.618788999971,6.967428000003565,0
hard-14,5,ga,3,0,0.5437561279753086,2337.3362460000208,2253.6234310000436,4.06143299973337,0
hard-15,1,classic,4,0,0.4661535448434623,2121.694159000006,2062.4560340000317,4.152004999865312,0
hard-15,1,contact,4,0,0.4661535448434623,2207.812293999945,2120.4089379999787,4.672845999884885,0
hard-15,1,ga,4,0,0.4661535448434623,2256.294594999985,2180.835057999997,2.7240989999845624,0
hard-15,2,classic,4,0,0.4661535448434623,2001.313301999995,1944.5832609999925,2.3311150000081398,0
hard-15,2,contact,4,0,0.4661535448434623,2175.8623570000054,2072.48291099997,4.608568999916315,0
